x,prev,prevN,y
object,no,frequently on,-1
family,the,one in,-1
satisfaction,some,hour with,-1
hours,earliest,from his,1
daughter,a,of marrying,-1
feeling,of,some change,-1
man,young,kind of,-1
day,a,home half,-1
fortnight,a,expression in,-1
compliment,a,her was,-1
aunt,her,him whispered,-1
talks,philips,my uncle,1
form,a,so unusual,-1
vanity,and,but amusement,-1
river,the,engaged by,-1
cousins,his,notice of,1
appearance,artificial,without any,-1
mirth,in,happiness overflows,-1
personality,mannered,first ill,-1
time,any,happy at,-1
set,your,one of,-1
picture,the,resemblance to,-1
game,the,demands of,-1
anything,you,allen have,-1
art,her,respect of,-1
pride,his,is right,-1
carriage,s,mr. bingley,-1
expenses,and,damages costs,1
county,his,choice of,-1
countenance,his,so cordial,-1
tents,its,the camp,1
frankness,and,its sincerity,-1
use,of,to be,-1
scene,proposal,the great,-1
hand,one,engaged on,-1
science,the,adept in,-1
doubt,a,bennet beyond,-1
partiality,her,method in,-1
desire,eager,to your,-1
sincerity,its,celebrated for,-1
expectation,no,had formed,-1
misfortune,the,certainly but,-1
coughs,her,discretion in,1
interruption,without,talk on,-1
man,the,quite detest,-1
affection,sisterly,to promote,-1
motive,his,have been,-1
works,all,license for,1
breast,own,than her,-1
attachment,of,interesting mode,-1
daughters,their,other of,1
events,these,year from,1
deal,great,comprehend a,-1
nothing,know,him you,-1
warrant,death,as the,-1
disapprobation,s,lady catherine,-1
minutes,ten,again in,1
sentiment,no,oppressively high,-1
emotion,and,of surprise,-1
disappointment,the,comfort for,-1
compliments,his,approach received,1
father,my,fortnight but,-1
quest,in,the street,-1
discovery,this,eyes to,-1
happiness,giving,wish of,-1
name,the,long bear,-1
river,the,side of,-1
feelings,his,might be,1
fancy,her,and allow,-1
side,either,abundant on,-1
assistance,the,bennet through,-1
love,making,be for,-1
sort,any,resolved against,-1
everything,of,his fruit,-1
question,your,can answer,-1
time,same,at the,-1
behaviour,his,consistent with,-1
credit,s,my sister,-1
works,electronic,gutenberg tm,1
heart,his,creditable to,-1
business,that,and said,-1
pies,mince,about the,1
summer,last,not but,-1
home,a,them to,-1
everybody,of,and behaviour,-1
doors,within,be always,1
arrangement,whole,were the,-1
rest,the,and amongst,-1
bows,many,and as,1
business,the,mention of,-1
intention,smallest,not the,-1
truth,the,referred for,-1
hour,every,was rising,-1
fears,their,added to,1
resolution,of,and want,-1
insipidity,the,more annoyed,-1
instant,an,but in,-1
visit,his,evening during,-1
coffee,the,pouring out,-1
house,the,out of,-1
intelligence,interesting,the most,-1
persons,very,of the,1
principle,no,present instance,-1
letter,his,former indolence,-1
subject,the,said on,-1
praises,the,to utter,1
friend,his,custody of,-1
families,many,wonderful how,1
present,at,of cruelty,-1
discernment,s,lady catherine,-1
boundary,the,was still,-1
mind,my,made up,-1
sakes,their,and for,1
years,two,became vacant,1
question,this,consent to,-1
time,her,in which,-1
glance,a,them with,-1
contrary,the,fearful on,-1
engagements,other,first their,1
uncle,her,to accompany,-1
mind,my,mrs. bennet,-1
contents,its,whole of,1
comparison,in,is nothing,-1
thoughts,her,the scene,1
way,own,have his,-1
ladies,young,often tell,1
misery,her,a husband,-1
drawing,the,returned into,-1
letter,this,contents of,-1
praise,her,cautious in,-1
circumstances,these,with all,1
employment,now,there was,-1
confide,or,to love,-1
house,the,way towards,-1
family,her,health of,-1
entrance,s,her ladyship,-1
pleasure,great,i have,-1
animation,the,her all,-1
son,the,but yet,-1
evening,single,for a,-1
sisters,his,bingley and,1
return,any,her from,-1
whence,from,to meryton,-1
smile,affectionate,with an,-1
neighbourhoods,few,there are,1
partake,to,eagerly called,-1
cruelty,his,mr. wickham,-1
compliment,a,this for,-1
impurities,its,him from,1
man,young,kind of,-1
material,very,to her,-1
spirit,much,with so,-1
turns,by,her head,1
work,the,undo all,-1
haste,make,make haste,-1
taste,his,his intelligence,-1
silence,his,reason of,-1
town,from,heard nothing,-1
property,rightful,as the,-1
room,breakfast,entered the,-1
evening,the,settled in,-1
reason,every,he had,-1
death,the,estate after,-1
trade,of,respectable line,-1
purpose,the,more to,-1
copyright,trademark,intellectual property,-1
chaise,the,removing from,-1
dinnertime,by,reached longbourn,-1
dislike,greatest,have the,-1
disdain,civil,expression of,-1
notice,their,better worth,-1
walk,pleasant,had a,-1
comfort,find,bennet to,-1
countenance,his,to keep,-1
mother,her,away to,-1
support,financial,volunteers and,-1
expression,beautiful,by the,-1
spirit,more,parts with,-1
nieces,his,opened to,1
spirits,her,lowness of,1
people,interested,no idea,1
face,her,feature in,-1
resentment,implacable,cried elizabeth,-1
attention,of,thoughtlessness want,-1
pyramids,beautiful,and the,1
tone,softened,in a,-1
room,the,eyes round,-1
case,the,that be,-1
cousin,fair,had my,-1
law,in,valuable son,-1
aunt,and,her uncle,-1
daughters,my,one of,1
morning,following,pemberley the,-1
family,her,to all,-1
tones,in,were mentioned,1
father,your,allen oh,-1
phaeton,low,in a,-1
effect,its,important communication,-1
rectory,valuable,to the,-1
improprieties,the,him all,1
house,the,return into,-1
smiles,only,jane she,1
brain,her,disturbers of,-1
professions,many,communication excited,1
course,whole,in the,-1
ground,of,great variety,-1
disposition,and,the sense,-1
colour,her,s appearing,-1
character,her,of lydia,-1
restrictions,no,with almost,1
everybody,to,all attention,-1
sisters,elder,her two,1
delight,my,all subjects,-1
displeasure,her,rather than,-1
triumph,a,must be,-1
deal,vast,suffers a,-1
town,to,to go,-1
reputation,the,she has,-1
confusion,some,him with,-1
writing,in,your defects,-1
life,fresh,give me,-1
character,his,be studying,-1
tears,into,she burst,1
beauty,taking,charm which,-1
admiration,wild,extravagant and,-1
side,either,attachment on,-1
part,own,on his,-1
side,either,ensued on,-1
eyes,her,one before,1
sister,your,conceal that,-1
occasions,ordinary,adapted to,1
companions,as,of suitableness,1
amusement,s,the evening,-1
pause,the,attained it,-1
place,her,darcy took,-1
opinion,her,for in,-1
winter,last,three months,-1
present,at,admire them,-1
things,little,kind of,1
acquaintance,the,to continue,-1
surprise,than,less resentment,-1
way,that,supplying in,-1
wife,his,mind of,-1
marriage,by,his fortune,-1
fortune,than,more fashion,-1
nature,that,demand of,-1
thing,promising,such a,-1
success,of,most sure,-1
day,the,you to,-1
volume,the,he opened,-1
servants,of,the entrance,1
intelligence,welcome,it was,-1
paragraphs,of,the requirements,1
place,took,the wedding,-1
attention,an,by such,-1
day,following,on the,-1
aunt,the,evening between,-1
door,the,remained at,-1
development,the,was added,-1
converting,your,bingley by,-1
way,give,do not,-1
affair,this,not merely,-1
manner,following,in the,-1
pride,of,a mixture,-1
brother,her,when hearing,-1
awkwardness,the,and by,-1
relief,some,to give,-1
scheme,rational,was a,-1
visit,his,only suppose,-1
sisters,whose,a man,1
acquaintance,such,have many,-1
denouement,the,brings about,-1
life,my,being in,-1
visit,farewell,paid her,-1
illustration,iv,illustration chapter,-1
anything,think,you can,-1
illustration,this,much as,-1
table,the,them round,-1
sister,eldest,after her,-1
country,the,else in,-1
note,a,footman with,-1
house,the,front of,-1
appearance,the,had all,-1
affection,much,there was,-1
heart,her,she opened,-1
gracious,good,bless herself,-1
distinction,more,her with,-1
civilities,his,whimsical in,1
o,four,18th by,-1
manners,whose,mr. gardiner,1
sister,his,her and,-1
cookery,its,excellence of,-1
father,a,relations except,-1
royalties,donate,agreed to,1
experience,the,caprice that,-1
caution,friendly,for this,-1
woman,a,such cases,-1
property,pemberley,of the,-1
everything,think,day i,-1
officers,the,few of,1
event,the,answerable for,-1
opinion,ill,lessen your,-1
servant,a,must send,-1
persons,the,gratitude towards,1
philistinism,its,century humanity,-1
command,and,a forbearance,-1
exception,without,she has,-1
conversation,no,she had,-1
o,eight,rosings at,-1
attempt,any,sensible that,-1
art,to,absolute as,-1
others,of,and vices,1
pleasure,much,i have,-1
nothing,see,this i,-1
daughters,of,a family,1
staff,small,swamp our,-1
alarm,s,hall maria,-1
terms,the,comply with,1
instructions,s,by elizabeth,1
anything,them,to see,-1
mother,her,lydia and,-1
expressions,and,her address,1
man,the,to accept,-1
philosopher,true,wanting the,-1
miniatures,other,amongst several,1
introduction,first,on his,-1
year,every,generally do,-1
behalf,in,to say,-1
views,the,interference in,1
object,an,could be,-1
obligations,under,they were,1
beauty,much,when so,-1
dining,the,hall to,-1
sorrow,his,again expressed,-1
degree,great,in a,-1
anticipation,of,the pleasure,-1
power,our,it in,-1
time,one,question at,-1
library,the,summoned to,-1
release,her,moment of,-1
neighbouring,the,from all,-1
understanding,your,scope of,-1
alarms,her,question and,1
beauty,and,which youth,-1
conversation,the,nieces turned,-1
license,trademark,of the,-1
day,every,minutes of,-1
home,humble,varying the,-1
parts,several,unacquainted with,1
horror,and,with amazement,-1
fault,in,have been,-1
room,her,repaired to,-1
income,an,so good,-1
connections,s,his friend,1
mischance,the,perverseness of,-1
uncle,own,but her,-1
engagement,my,to keep,-1
confidence,her,to heighten,-1
apace,drooping,neighbourhood were,-1
plan,his,delay of,-1
visitors,were,while there,1
time,same,at the,-1
inclination,own,only her,-1
mother,her,vexed that,-1
benefit,derive,philosopher will,-1
eltons,the,bates as,1
intelligence,speediest,give the,-1
donors,from,unsolicited donations,1
anything,saying,abusive without,-1
entity,or,the person,-1
party,considerable,believe a,-1
attack,paltry,such a,-1
chair,a,admit of,-1
water,the,side of,-1
spirits,her,pain but,1
manner,her,attacks though,-1
summer,and,summer finery,-1
conjectures,the,off and,1
attachment,that,strength of,-1
countries,most,laws in,1
day,next,illustration the,-1
confidence,her,mother indeed,-1
article,that,convinced on,-1
interest,your,madam for,-1
kingdom,the,rank in,-1
silence,their,imagine that,-1
catastrophe,the,and keeping,-1
nothing,world,in the,-1
sister,her,her made,-1
folly,of,the effects,-1
aunt,their,them to,-1
family,a,her in,-1
character,s,understand wickham,-1
walk,the,and during,-1
daughter,eldest,seen her,-1
gentlemen,the,not see,1
hours,vacant,spend his,1
notion,the,herself with,-1
manners,whose,s society,1
day,one,to him,-1
number,the,to discover,-1
affection,and,the respect,-1
past,the,nothing of,-1
power,her,out of,-1
admiration,outspoken,just and,-1
daughter,her,lover of,-1
illustration,longbourn,road to,-1
connection,a,consider that,-1
compliments,his,winter and,1
comparison,in,is nothing,-1
future,in,no limits,-1
diffidence,his,unaffectedly modest,-1
days,90,you within,1
day,easter,not till,-1
mother,poor,trusted my,-1
fortnight,monday,return on,-1
mark,other,for every,-1
perverseness,her,peculiarly denoted,-1
eyes,her,lustre to,1
trouble,the,you dislike,-1
rest,the,to doubt,-1
something,is,but there,-1
concerns,dearest,all his,1
match,the,him to,-1
delicacy,natural,however your,-1
reception,his,of wednesday,-1
women,few,not a,1
belief,the,assurance in,-1
perverseness,the,again over,-1
woman,looking,genteel agreeable,-1
everything,town,house in,-1
attachment,first,warmth of,-1
couple,a,for having,-1
mother,your,will give,-1
indifference,perfect,her with,-1
course,of,which darcy,-1
debts,some,account of,1
country,this,be in,-1
reason,no,you have,-1
attentions,s,that bingley,1
feeling,of,general similarity,-1
breast,s,in darcy,-1
family,whole,seeing the,-1
character,s,of wickham,-1
work,the,you received,-1
methods,donation,for current,1
example,s,of lydia,-1
air,her,complacency in,-1
whispering,s,young lady,-1
cousins,two,it the,1
minutes,several,but now,1
business,urgent,say that,-1
field,all,of year,-1
hospitality,display,freely to,-1
light,of,an angel,-1
family,the,they came,-1
mother,her,time when,-1
nerves,my,compassion on,1
vexation,and,with shame,-1
attention,their,then directed,-1
couple,a,partner for,-1
things,thousand,required a,1
vexation,and,from alarm,-1
nothing,for,so beautiful,-1
town,in,her being,-1
amazement,with,bennet found,-1
group,or,electronic work,-1
aloud,note,read the,-1
esteem,and,if gratitude,-1
modesty,your,elizabeth that,-1
grandeur,and,his wealth,-1
gentlemen,the,employed until,1
corps,the,he entered,-1
case,the,not been,-1
stiffness,no,no formality,-1
card,the,was over,-1
feelings,your,your attention,1
heading,148,with them,-1
use,the,he retains,-1
suffering,present,communication of,-1
plans,your,i hope,1
schemes,kind,in her,1
woman,last,am the,-1
life,a,life was,-1
ball,one,more than,-1
discourse,their,any of,-1
bed,to,family went,-1
account,fine,elizabeth this,-1
favour,in,general intention,-1
inmates,together,was passed,1
communication,important,made the,-1
opinion,ill,of your,-1
part,a,in such,-1
father,her,not fear,-1
virtue,every,possession of,-1
realism,false,makes the,-1
illustration,frequent,are very,-1
town,in,his society,-1
thing,a,been such,-1
questions,these,to what,1
drawing,the,stoke if,-1
dearest,my,your society,-1
conversation,his,to enjoy,-1
novel,built,very badly,-1
alterations,the,approved all,1
wife,his,and of,-1
visit,morning,over every,-1
door,the,she opened,-1
illustration,xxx,illustration chapter,-1
view,in,a wife,-1
wish,my,was greatly,-1
magnitude,equal,means of,-1
friend,his,excuse from,-1
minutes,few,in a,1
moment,a,matrimony in,-1
redistribution,commercial,license especially,-1
daughters,his,from among,1
invitation,their,intervene before,-1
thing,such,said no,-1
contrivance,her,felicity of,-1
tenour,quiet,pass the,-1
carriage,the,she heard,-1
surprise,inquiring,looks of,-1
mine,of,lucky idea,-1
day,the,occurrences of,-1
approach,the,to by,-1
friends,new,of these,1
volunteers,life,walks of,1
behaviour,person,elizabeth s,-1
paragraph,in,set forth,-1
liveliness,more,a little,-1
one,no,anything but,-1
introduction,an,i sought,-1
reserves,no,could have,1
arrival,his,the lucases,-1
ground,his,should stand,-1
impartiality,be,meant to,-1
goodness,of,an expression,-1
removal,approaching,regiment s,-1
time,have,in to,-1
servants,men,having two,1
courtesy,forbearing,the most,-1
dinner,to,you came,-1
sister,her,night in,-1
ease,at,a mind,-1
1.e.1,paragraph,forth in,-1
importance,small,is of,-1
haste,make,if we,-1
sentiments,my,you know,1
neighbours,her,together and,1
knowledge,the,collins for,-1
notions,strictest,all his,1
head,her,bennet shaking,-1
hours,several,with him,1
moment,that,and at,-1
servants,and,new carriages,1
master,the,the other,-1
woman,a,could make,-1
country,the,subject of,-1
license,trademark,with the,-1
uncle,my,mamma that,-1
defects,the,concern for,1
others,the,minutes before,1
chaise,the,and dismissed,-1
consequence,her,of giving,-1
one,no,him that,-1
renewal,or,those sentiments,-1
minutes,several,pause of,1
aunt,his,his own,-1
thrills,delightful,shocks the,1
way,the,them in,-1
house,the,giving up,-1
friends,hertfordshire,all their,1
part,use,terms of,-1
air,an,women with,-1
points,first,were the,1
daughters,your,but consider,1
place,a,would like,-1
doubt,a,you entertained,-1
affections,my,to gain,1
possession,the,once in,-1
street,the,driving up,-1
country,the,that advantage,-1
phaeton,low,park a,-1
case,a,so anxious,-1
multitude,admiring,teach the,-1
employments,their,course of,1
house,parsonage,with his,-1
answer,this,life with,-1
thoughtlessness,or,so imprudence,-1
servants,the,interruption while,1
letter,the,hate me,-1
words,own,with his,1
woman,young,against a,-1
situation,her,attached to,-1
notice,no,giving her,-1
matter,the,end of,-1
defect,your,overcome and,-1
eye,the,that in,-1
man,horrid,to that,-1
humour,a,not in,-1
object,an,as great,-1
sister,your,done that,-1
widow,bourgh,catherine de,-1
son,my,hypocrisy of,-1
gentlemen,two,between the,1
copy,any,prominently whenever,-1
plot,the,the others,-1
subjects,those,interruption on,1
doors,within,were over,1
point,the,were on,-1
curricle,his,goulding in,-1
inducement,principal,as his,-1
moment,the,now at,-1
advice,the,seemed likely,-1
variation,next,more the,-1
person,last,be the,-1
daughter,eldest,of my,-1
liberty,the,i took,-1
garden,the,work in,-1
morrow,to,have it,-1
look,a,gave her,-1
acquaintance,on,darcy improves,-1
period,future,at some,-1
idea,your,wish it,-1
feelings,her,such were,1
mother,their,girls that,-1
condescension,and,all affability,-1
room,drawing,at a,-1
injury,the,she lets,-1
family,a,not had,-1
works,these,copyright in,1
cousin,my,this to,-1
turn,the,you did,-1
making,love,business of,-1
presence,and,of temper,-1
pride,his,urged that,-1
information,required,gentleman and,-1
morning,the,pleasures of,-1
smile,a,glow and,-1
dining,the,come into,-1
absence,continued,bingley s,-1
countenance,s,her sister,-1
men,of,the worst,1
leisure,had,and they,-1
wedding,my,account of,-1
morning,third,on the,-1
belief,happy,in the,-1
eagerness,of,good deal,-1
acquisition,sudden,it the,-1
respect,every,me in,-1
happiness,drive,enough to,-1
clock,o,at four,-1
offence,no,shall take,-1
attention,little,and the,-1
complexion,his,judge from,-1
visit,the,again when,-1
person,that,ill of,-1
death,s,my father,-1
nay,say,shall not,-1
tea,drink,engaged to,-1
neighbourhood,very,beyond the,-1
leave,of,the ceremony,-1
man,agreeable,a less,-1
love,in,believe herself,-1
thither,walking,period of,-1
visit,the,actually paid,-1
room,this,lawn in,-1
conversation,pleasant,hours of,-1
curiosity,of,great deal,-1
hopes,the,could justify,1
works,derivative,creation of,1
tranquillity,their,health and,-1
allowance,pocket,board and,-1
wit,his,never had,-1
arrival,their,window watching,-1
modification,alteration,work b,-1
bye,good,packed up,-1
room,that,entertained in,-1
friend,her,this to,-1
thoughts,some,had once,1
hero,the,rascality but,-1
man,inestimable,of this,-1
affectation,others,nonsense of,-1
truth,the,more than,-1
alteration,little,be a,-1
party,one,fortnight not,-1
meeting,his,made of,-1
love,my,day lydia,-1
others,the,considered by,1
news,dreadful,by some,-1
conversation,their,well and,-1
information,constant,of receiving,-1
bitterness,with,of speaking,-1
lot,my,fall to,-1
owner,the,owed to,-1
effort,one,resolved on,-1
copyright,flirting,illustration tenderly,-1
officer,an,walking with,-1
law,in,three sons,-1
disquiet,of,other causes,-1
causes,other,there were,1
attention,the,to fix,-1
credit,the,charlotte all,-1
affection,her,convinced of,-1
distress,between,were divided,-1
indifference,perfect,but his,-1
rail,to,she continued,-1
message,any,to leave,-1
mother,her,proceeded upstairs,-1
garden,the,walked down,-1
amendment,of,the reach,-1
illustration,once,officers at,-1
idea,every,embarrassment and,-1
case,that,him in,-1
satire,her,such as,-1
world,the,concealed from,-1
commission,the,not in,-1
resignation,that,often observed,-1
supposition,of,same kind,-1
society,the,joining in,-1
meetings,several,marked their,1
authority,our,very likely,-1
woman,hypocritical,a selfish,-1
hint,the,to take,-1
manner,of,great humility,-1
obsoletenesses,merest,of the,1
family,a,longbourn lived,-1
wishes,and,his affection,1
kindness,and,good humour,-1
daughters,his,time before,1
debts,his,town but,1
uncle,your,profession which,-1
use,the,derive from,-1
fit,dangerous,have a,-1
way,gave,for him,-1
poultry,her,cows and,-1
whims,s,any person,1
family,the,part of,-1
painter,what,taken for,-1
denial,flat,give a,-1
uncle,great,to your,-1
warmth,some,elizabeth with,-1
marriage,s,had lydia,-1
anything,of,to think,-1
nature,serious,unexpected and,-1
attention,his,more of,-1
temper,his,ductility of,-1
speech,that,care lizzy,-1
power,her,hardly left,-1
information,satisfactory,gaining any,-1
dance,the,going down,-1
home,at,being settled,-1
love,my,come here,-1
side,his,appearance on,-1
view,the,never seen,-1
degree,some,off with,-1
comfort,the,mrs. bennet,-1
hours,of,a couple,1
something,repeating,hurried into,-1
friend,her,know where,-1
glove,my,took off,-1
distress,such,consolation to,-1
story,the,exigencies of,-1
consequence,in,xii illustration,-1
life,and,the world,-1
party,whole,for the,-1
houses,these,all of,1
variety,a,not such,-1
road,good,miles of,-1
illustration,house,at longbourn,-1
ancles,her,is above,1
manner,gentlemanlike,a more,-1
people,by,electronic work,1
reading,extensive,mind by,-1
chimney,the,found that,-1
evil,an,how lasting,-1
affection,an,him in,-1
forbearance,the,with all,-1
argument,unanswerable,be an,-1
mother,your,had known,-1
life,in,and situation,-1
loss,no,be at,-1
thoughts,my,enough from,1
vanity,own,of her,-1
door,the,ladies to,-1
years,hundred,the last,1
delay,the,house and,-1
family,her,those of,-1
master,late,of her,-1
father,my,s education,-1
years,four,1813 only,1
restraint,a,there was,-1
inquire,to,awakened as,-1
place,proper,in its,-1
breakfast,contrivance,of her,-1
ladyship,her,one of,-1
ball,a,he that,-1
daughters,her,bennet and,1
compliance,in,keep ebooks,-1
report,her,lady lucas,-1
uncle,her,down to,-1
teasing,silent,me why,-1
people,few,are very,1
establishment,the,desire in,-1
feelings,her,sentence and,1
top,the,themselves at,-1
valley,the,winding of,-1
donations,about,4 information,1
vain,in,and looked,-1
end,an,to put,-1
building,the,date of,-1
astonishment,s,you elizabeth,-1
eyes,the,tears filled,1
breakfast,the,assembled in,-1
mischief,the,an object,-1
salutation,s,to elizabeth,-1
ease,and,the rapidity,-1
illustration,xxxvi,illustration chapter,-1
sensibility,mere,has no,-1
house,the,showed us,-1
chapter,date,to the,-1
concern,prevailing,was another,-1
leisure,the,it with,-1
companion,her,short pause,-1
syllables,four,words of,1
remains,the,to encounter,1
weeks,few,only a,1
interference,his,to call,-1
duchess,a,to be,-1
drawing,s,lady catherine,-1
colour,their,expression but,-1
account,following,when the,-1
hope,a,she entertained,-1
night,at,they parted,-1
room,ball,in a,-1
behaviour,and,s look,-1
conversation,in,the gate,-1
injustice,did,here she,-1
children,the,must attend,1
times,different,faults at,1
success,his,you but,-1
ladies,young,much trouble,1
ladies,young,the two,1
indignation,silent,it in,-1
shrubbery,the,together in,-1
aunt,my,ever and,-1
evening,the,much deference,-1
girl,pretty,with a,-1
sentiments,the,regardless of,1
hour,an,quarter of,-1
day,other,but the,-1
father,her,looked at,-1
male,heirs,default of,-1
copying,first,habits of,-1
impression,favourable,complete the,-1
felicity,the,wishes for,-1
capital,news,is excellent,-1
aunts,and,your uncles,1
acquaintance,prior,been a,-1
observances,the,with all,1
deal,great,friend a,-1
amusements,same,sharing the,1
attendance,your,my faculties,-1
wife,his,his conduct,-1
resource,last,be the,-1
means,no,was by,1
conversation,some,advantage of,-1
better----,the,to get,-1
prizes,after,and exclaiming,1
question,the,he repeated,-1
head,her,been in,-1
conduct,s,mr. darcy,-1
idea,smallest,not the,-1
conversation,for,too full,-1
brink,the,descending to,-1
happiness,his,expressions of,-1
sense,the,to have,-1
person,tall,his fine,-1
end,the,lxi 472,-1
gentlemen,the,oh but,1
demands,common,for the,1
weeks,few,of a,1
offer,an,will make,-1
manners,his,every day,1
eyes,the,him in,1
affection,his,had lost,-1
family,s,your mother,-1
shoes,kid,pierce their,1
conversation,some,to have,-1
intimacy,my,you that,-1
home,s,now georgiana,-1
conduct,the,said elizabeth,-1
hand,his,letter in,-1
manner,plain,abode our,-1
mother,charming,have a,-1
friend,dearest,society my,-1
means,no,was by,1
aunt,and,your uncle,-1
cottagers,the,any of,1
day,the,went but,-1
anger,without,not think,-1
nothing,neglect,sure you,-1
objections,any,allow that,1
ladyship,her,to take,-1
circumstances,the,many of,1
way,a,so hurried,-1
daughters,five,wife and,1
house,the,friend over,-1
piece,a,than as,-1
change,a,so material,-1
town,in,he was,-1
occupation,the,have continued,-1
others,two,one or,1
militia,of,poor regiment,-1
night,the,chief of,-1
girls,younger,cure the,1
names,their,or allow,1
delay,the,had proposed,-1
years,many,son for,1
directions,received,jane had,1
care,take,after all,-1
proprietor,its,name of,-1
stupidity,their,laugh at,-1
neighbourhood,the,regiment in,-1
man,a,society of,-1
heart,generous,most affectionate,-1
father,library;--their,to the,-1
reply,any,to make,-1
complexion,his,than surprise,-1
sort,these,how wonderfully,-1
beauty,much,not often,-1
brother,their,girl and,-1
attachment,an,to favour,-1
evening,the,shopping and,-1
wish,his,him for,-1
wedding,one,expectation of,-1
uncle,your,at last,-1
letter,the,elizabeth opened,-1
state,applicable,by the,-1
vain,in,of it,-1
honour,the,do me,-1
evening,the,occurrences of,-1
jot,one,make them,-1
praise,that,she fancied,-1
anybody,that,to me,-1
things,worse,often hears,1
novelist,the,gift of,-1
letter,his,length of,-1
manners,her,asserting that,1
character,your,was decided,-1
point,the,entrance as,-1
whole,the,been together,-1
subjects,whose,in crayons,1
abhorrence,my,sort is,-1
anybody,before,and sing,-1
heart,my,wish of,-1
family,my,singled from,-1
times,three,two or,1
gentleness,such,spoken with,-1
pains,"me,--it",your father:--pardon,1
thanks,my,time accept,1
copyright,affair,related the,-1
wife,his,see how,-1
drawing,a,was at,-1
want,a,at such,-1
persuasion,his,not repeat,-1
addresses,my,refusal of,1
hint,short,add a,-1
chamber,her,solitude of,-1
answer,her,liked him,-1
father,your,you when,-1
pleasure,of,many professions,-1
moment,a,she for,-1
violence,more,talking with,-1
sides,both,that on,1
milliner,opposite,visiting an,-1
world,the,family in,-1
admirers,out,out and,1
charm,that,secret of,-1
nothing,said,solicitude but,-1
instance,an,was such,-1
inquiries,those,drew from,1
day,last,within the,-1
room,my,come into,-1
day,next,the very,-1
whole,the,in disbelieving,-1
feathers,borrowed,of his,1
life,my,being all,-1
way,the,merry all,-1
boulanger_----,the,lizzy and,-1
invitation,the,acceptance of,-1
time,the,short as,-1
gallery,same,in this,-1
mother,their,wished and,-1
additions,or,alteration modification,1
length,at,made her,-1
friend,intimate,elizabeth s,-1
road,the,sloping to,-1
hour,an,above half,-1
dependence,and,self denial,-1
benevolence,your,activity of,-1
disinterestedness,and,your sweetness,-1
hers,indifference,sunk into,1
people,interested,of the,1
fact,the,not deny,-1
terms,the,agree to,1
narrative,faithful,is a,-1
presence,s,her mother,-1
fortune,a,town had,-1
bounty,whose,de bourgh,-1
foundations,good,esteem are,1
sake,my,be for,-1
mother,my,said elizabeth,-1
pardon,your,i beg,-1
distance,easy,a very,-1
nothing,saw,and jane,-1
others,those,case of,1
sitting,inconvenient,a most,-1
library,s,in clarke,-1
reason,the,commission purchased,-1
husband,unfortunate,from the,-1
marriage,his,preparing for,-1
means,better,he has,1
kiss,hasty,them a,-1
smiles,complaisant,amid very,1
anything,do,we would,-1
nephew,my,to be,-1
distribution,free,agreement for,-1
sir,dear,i remain,-1
world,the,man in,-1
daughter,charming,that her,-1
lane,the,which fronted,-1
season,the,took from,-1
subject,every,embargo on,-1
disappointment,this,lambton and,-1
manner,her,certain that,-1
anybody,help,enough to,-1
meat,cold,with such,-1
lanes,more,you no,1
mind,one,always of,-1
cousin,my,honour of,-1
happiness,my,opinion constitute,-1
father,her,lizzy said,-1
room,her,and keeps,-1
fender,the,sideboard to,-1
names,mentioning,but without,1
remark,the,further than,-1
silence,short,after a,-1
sort,these,her that,-1
carriage,her,afterwards ordered,-1
evil,an,against such,-1
consequence,and,s feelings,-1
hurry,a,it in,-1
votes,competent,at least,1
park,the,of entering,-1
whittingham,press:--charles,allen chiswick,1
dinnertime,the,her all,-1
nothing,say,obliged to,-1
husband,her,to bear,-1
copyright,paying,and without,-1
wish,first,confusion the,-1
uneasiness,sisters,explained his,-1
persuasions,such,on by,1
fear,no,disturbed by,-1
resentment,her,dropped all,-1
donations,and,public support,1
arrival,s,and aunt,-1
loss,the,in law,-1
sense,its,almost all,-1
girl,foolish,very headstrong,-1
humanity,common,man of,-1
town,in,i am,-1
life,her,rest of,-1
research,copyright,identify do,-1
chief,the,elizabeth passed,-1
people,the,or of,1
sister,her,assurance of,-1
rain,it,of making,-1
nephew,the,letter from,-1
pride,his,with him,-1
authority,from,have heard,-1
apparel,your,cousin about,-1
course,of,she was,-1
process,usual,in the,-1
sacrifice,a,is such,-1
asperity,some,him with,-1
glow,a,gave such,-1
claim,all,had forfeited,-1
return,a,never receive,-1
morning,one,lvi illustration,-1
subject,the,much on,-1
accomplishments,of,common extent,1
mile,a,house about,-1
winter,every,balls there,-1
hopes,entertained,he had,1
inclination,slight,than a,-1
warmth,the,glowing with,-1
tongues,your,you hold,1
offences,their,ought nor,1
cases,some,is in,1
home,at,stay quietly,-1
faces,the,no suspicion,1
height,the,felt in,-1
everybody,for,to believe,-1
sort,agreeable,a most,-1
morning,every,and that,-1
wedding,for,and as,-1
party,longbourn,it the,-1
report,a,ball and,-1
kind,some,to make,-1
aunt,my,first sees,-1
kindness,and,the notice,-1
share,their,the ladies,-1
society,s,of lydia,-1
neighbourhood,the,comes into,-1
acquaintance,our,to make,-1
vexation,and,his regret,-1
truth,much,has too,-1
power,his,be in,-1
beauty,for,her equal,-1
dance,the,gone down,-1
array,widest,by the,-1
tears,with,she replied,1
prospect,the,health and,-1
